dominio,termo,vol_uk,vol_us,dns_2026-09-25,dominios_com_link,rank_dfs,primeiro_link,sites_reais_linkando,veredito
godigitalagency.co.uk,digital agency,1600,4400,livre,29,240,2020-08,"actikid.com (297 links rodape), propertyconnectltd.com (89 rodape)",agencia real que existiu; 2 clientes com credito no rodape; resto spam
myseoconsultants.com,seo consultant,2900,8100,livre,74,146,2022-01,stevenbarcuslaw.com (38 links),1 cliente real; resto spam
proseoservices.com,seo services,4400,60500,livre,66,145,2019-02,tmscsystems.com (20 links),1 site real; resto spam
socialmediamanagementuk.com,social media management,1900,6600,livre,41,106,2021-02,"kjnewswire.com (press release), callupcontact.com",fraco; resto spam
expertseofreelancer.com,seo freelancer,720,1600,livre,98,52,2020-09,honeyhat.com,fraco; resto spam
ukseoconsultant.com,seo consultant,2900,8100,livre,36,113,2023-03,nenhum claro,spam
seoservicesnow.co.uk,seo services,4400,,livre,67,126,2019-08,165 links de blogspot (PBN),PBN/spam
smartseocompany.com,seo company,3600,22200,livre,34,55,2023-10,nenhum,spam
theemailmarketingagency.com,email marketing agency,880,3600,livre,55,51,2023-11,nenhum,spam
digitalmarketingagency.com,digital marketing agency,6600,40500,REGISTRADO,726,,,,nao disponivel
fractionalcmo.com,fractional cmo,880,2900,REGISTRADO,100,,,,nao disponivel
b2bmarketingagency.com,b2b marketing agency,880,5400,REGISTRADO,56,,,,nao disponivel
