total,stem,keyword,us,cpc_us,uk,cpc_uk,intent,com,co.uk,uk,net,co,io
110000,ads,ads,0,,110000,171.73,commercial,REG,REG?,REG?,REG,REG,REG
53900,localserviceads,local service ads,49500,5.35,4400,5.18,informational,REG,REG,FREE?,REG,FREE?,REG
30300,googleadwords,google adwords,22200,11.11,8100,6.04,commercial,REG,REG,FREE?,REG,REG,FREE?
25100,advertisingagency,advertising agency,22200,24.49,2900,12.75,commercial,REG,REG,REG,REG,REG?,FREE?
20500,linkedinsearch,linkedin search,18100,4.21,2400,2.59,navigational,REG,FREE?,FREE?,FREE?,FREE?,FREE?
18100,googlead,google ad,18100,60.69,0,,commercial,REG,REG?,FREE?,REG?,FREE?,FREE?
9900,lamaradvertising,lamar advertising,9900,10.9,0,,navigational,REG,ERR,FREE?,ERR,FREE?,FREE?
9700,billboardadvertising,billboard advertising,8100,28.34,1600,40.77,commercial,REG,REG,REG,REG,FREE?,FREE?
8490,payperclickadvertising,pay per click advertising,8100,80.74,390,70.65,commercial,REG,REG,FREE?,REG,FREE?,FREE?
8100,socialmediaads,social media ads,8100,50.35,0,,commercial,REG,REG,FREE?,FREE?,FREE?,FREE?
8100,instagrammarketingservices,instagram marketing services,8100,4.68,0,,commercial,REG,FREE?,FREE?,FREE?,FREE?,FREE?
7480,googlelocalads,google local ads,6600,9.21,880,4.22,commercial,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
6600,linkedinpremiumsubscription,linkedin premium subscription,6600,6.27,0,,transactional,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
5990,nativeadvertising,native advertising,5400,40.95,590,42.77,commercial,REG,REG,FREE?,REG,FREE?,REG
5720,googlebusinessads,google business ads,5400,43.45,320,21.42,commercial,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
5500,telegramads,telegram ads,3600,36.67,1900,32.03,commercial,REG,FREE?,FREE?,REG,REG,REG
5400,personalizedads,personalized ads,5400,4.26,0,,commercial,ERR,FREE?,FREE?,FREE?,FREE?,FREE?
5400,instagraminfluencermarketing,instagram influencer marketing,5400,7.8,0,,commercial,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
5400,googleadstransparency,google ads transparency,5400,27.13,0,,informational,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
5120,googleadgrants,google ad grants,4400,11.27,720,7.78,informational,REG,FREE?,FREE?,FREE?,FREE?,FREE?
4600,marketingcampaign,marketing campaign,3600,42.8,1000,17.04,commercial,REG,REG,FREE?,REG,REG,REG?
4400,onlineads,online ads,4400,60.62,0,,commercial,REG,REG,REG,REG,REG,REG
4400,internetadvertising,internet advertising,4400,60.62,0,,commercial,REG,REG,REG,REG,REG,REG
4400,googleadvertising,google advertising,0,,4400,18.53,informational,REG,FREE?,FREE?,FREE?,FREE?,FREE?
4400,googleadskeywordplanner,google ads keyword planner,4400,18.18,0,,commercial,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
4190,advertisingagencies,advertising agencies,3600,13.58,590,15.17,commercial,REG,REG,FREE?,REG,FREE?,FREE?
4080,advertisingservices,advertising services,3600,56.19,480,19.21,commercial,REG,REG,FREE?,REG,FREE?,FREE?
3990,etsyads,etsy ads,3600,32.39,390,19.11,commercial,REG,FREE?,FREE?,FREE?,FREE?,FREE?
3620,socialmediacampaign,social media campaign,2900,35.6,720,15.16,informational,REG,FREE?,FREE?,FREE?,REG,FREE?
3620,outofhomeadvertising,out of home advertising,2900,40.9,720,33.72,commercial,REG,REG,FREE?,REG,REG,FREE?
3620,localads,local ads,2900,15.04,720,18.94,commercial,REG,REG,REG,REG,REG,REG
3600,yelpads,yelp ads,3600,17.73,0,,informational,REG,FREE?,FREE?,FREE?,FREE?,FREE?
3600,vapingads,vaping ads,3600,7.8,0,,informational,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
3600,productads,product ads,3600,24.3,0,,informational,REG,FREE?,FREE?,REG,FREE?,FREE?
3600,podcastads,podcast ads,3600,123.37,0,,commercial,REG,REG,FREE?,REG,REG,REG
3600,leadgenerationagency,lead generation agency,3600,32.51,0,,commercial,REG,REG?,REG?,FREE?,FREE?,FREE?
3600,facebookbusinessads,facebook business ads,3600,23.55,0,,commercial,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
3490,advertisingcompanies,advertising companies,2900,32.24,590,19.33,commercial,REG,FREE?,FREE?,FREE?,FREE?,FREE?
3290,targetedads,targeted ads,2900,23.06,390,11.64,commercial,REG,FREE?,FREE?,FREE?,REG,FREE?
3290,googlesearchads,google search ads,2900,80.1,390,47.88,commercial,REG,FREE?,FREE?,FREE?,FREE?,FREE?
3290,facebookmarketing,facebook marketing,2900,22.89,390,11.67,commercial,REG,FREE?,FREE?,REG,FREE?,FREE?
3280,paidfocusgroups,paid focus groups,2400,3.21,880,2.73,commercial,REG,REG,FREE?,FREE?,FREE?,FREE?
2900,persuasiveadvertising,persuasive advertising,2900,62.43,0,,informational,REG,FREE?,FREE?,FREE?,FREE?,FREE?
2900,persuasiveads,persuasive ads,2900,62.43,0,,commercial,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
2900,paidmarketresearch,paid market research,0,,2900,3.11,commercial,REG,REG,FREE?,FREE?,FREE?,FREE?
2900,microsoftsearch,microsoft search,2900,3.42,0,,navigational,REG,FREE?,FREE?,FREE?,FREE?,FREE?
2900,marketingads,marketing ads,2900,34.01,0,,commercial,REG,FREE?,FREE?,REG,REG,FREE?
2900,googleseoanalytics,google seo analytics,2900,12.18,0,,commercial,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
2900,googlesearchanalytics,google search analytics,2900,9.66,0,,informational,REG,FREE?,FREE?,FREE?,FREE?,FREE?
2900,googleadtransparency,google ad transparency,2900,49.71,0,,informational,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
2900,aspcaads,aspca ads,2900,6.49,0,,informational,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
