tier,dominio,termo,busca_us,cpc_us,busca_uk,cpc_uk,intencao,status,confianca,uso sugerido
A,googlebusinessads.com,google business ads,5400,43.45,320,21.42,comercial,LIVRE (WHOIS registered=false),alta,pagina de servico Google Ads para pequenas empresas / LSA
A,googlelocalads.com,google local ads,6600,9.21,880,4.22,comercial,LIVRE (DNS; sem WHOIS),media,mesmo tema: Local Services Ads e campanhas locais; .co.uk .uk livres
A,localgoogleads.com,local google ads,1900,6.92,0,,comercial,LIVRE (WHOIS registered=false),alta,par do anterior
A,facebookbusinessads.com,facebook business ads,3600,23.55,0,,comercial,LIVRE (WHOIS registered=false),alta,pagina Meta Ads para negocios locais
A,googleadssmallbusiness.com,google ads small business,1900,42.07,0,,comercial,LIVRE (DNS; sem WHOIS),media,CPC alto; combina com a pagina /small-business-ppc-management/
A,googledisplayads.com,google display ads,1300,140.58,390,19.66,informacional/comercial,LIVRE (DNS; sem WHOIS),media,CPC US 140; conteudo + servico Display
A,ppcagencyuk.com,ppc agency uk,0,,390,57.93,comercial,LIVRE (WHOIS registered=false),alta,.co.uk .uk tambem livres; CPC £58
A,marketingagencyads.com,marketing agency ads,1300,37.86,0,,comercial,LIVRE (DNS; sem WHOIS),media,
A,leadgenerationcompaniesuk.com,lead generation companies uk,0,,590,30.58,comercial,LIVRE (DNS; sem WHOIS),media,.co.uk livre; nicho lead gen UK
A,b2bleadgenerationcompanies.com,b2b lead generation companies,0,,320,102.07,comercial,LIVRE (DNS; sem WHOIS),media,CPC £102 (o mais alto da varredura)
A,ppcmarketingcompanies.com,ppc marketing companies,0,,260,47.15,comercial,LIVRE (DNS; sem WHOIS),media,
A,advertisingagenciesuk.com,advertising agencies uk,0,,390,11.77,comercial,LIVRE (WHOIS registered=false),alta,
A,advertisingagencieslondon.com,advertising agencies london,0,,1600,9.13,comercial,LIVRE (DNS; sem WHOIS),media,maior volume UK entre os .com livres; diretorio/afiliado
A,persuasiveads.com,persuasive ads,2900,62.43,0,,comercial,LIVRE (WHOIS registered=false),alta,conteudo (exemplos de anuncios) com CPC 62
A,interstitialads.com,interstitial ads,2400,30.30,0,,comercial,LIVRE (WHOIS registered=false),alta,nicho app/display
A,smsmarketingplatforms.com,sms marketing platforms,4400,105.89,0,,comercial,LIVRE (WHOIS registered=false),alta,fora do PPC mas CPC 106 e volume 4.4K: afiliado de software
A,paidadvertisingplatforms.com,paid advertising platforms,18100,55.41,0,,comercial,LIVRE (DNS; sem WHOIS),media,maior volume da lista; conteudo comparativo de plataformas
UK,googleadvertising.co.uk,google advertising,0,,4400,18.53,informacional,LIVRE (DNS; sem WHOIS),media,4.4K UK; .com tomado; pagina UK de Google Ads
